#Parameters = {D=8; L=80; d_a=10; e_m=9; e_s=30; gap=1.5; m_x=30; m_y=40; m_z=100; mu_m=1; mu_s=1; s_d=2}
#"Frequency / GHz"	"S2,1 [Magnitude]"
#------------------------------------
1.2239999771118	-10.437487072262
1.2280000448227	-10.520987121784
1.2319999933243	-10.604160372794
1.2359999418259	-10.686972745454
1.2400000095367	-10.769388600467
1.2439999580383	-10.851374142738
1.2480000257492	-10.932900108700
1.2519999742508	-11.013940340308
1.2560000419617	-11.094469499021
1.2599999904633	-11.174466921892
1.2640000581741	-11.253914859741
1.2680000066757	-11.332797839626
1.2719999551773	-11.411103483475
1.2760000228882	-11.488823293065
1.2799999713898	-11.565949181981
1.2840000391006	-11.642481182953
1.2879999876022	-11.718416601876
1.2920000553131	-11.793760479030
1.2960000038147	-11.868519691235
1.2999999523163	-11.942699794328
1.3040000200272	-12.016317200466
1.3079999685287	-12.089380982946
1.3120000362396	-12.161910833183
1.3159999847412	-12.233925756095
1.3200000524521	-12.305445038020
1.3240000009537	-12.376494241945
1.3279999494553	-12.447096982622
1.3320000171661	-12.517280077781
1.3359999656677	-12.587071170580
1.3400000333786	-12.656500069940
1.3439999818802	-12.725597098317
1.3480000495911	-12.794393486714
1.3519999980927	-12.862920440005
1.3559999465942	-12.931211731332
1.3600000143051	-12.999298762455
1.3639999628067	-13.067213087302
1.3680000305176	-13.134987797707
1.3719999790192	-13.202655422478
1.3760000467300	-13.270247529753
1.3799999952316	-13.337794284656
1.3839999437332	-13.405325782407
1.3880000114441	-13.472869783850
1.3919999599457	-13.540455473887
1.3960000276566	-13.608108078149
1.3999999761581	-13.675853209868
1.4040000438690	-13.743712588557
1.4079999923706	-13.811708419880
1.4119999408722	-13.879860292588
1.4160000085831	-13.948187065820
1.4199999570847	-14.016701675798
1.4240000247955	-14.085419442781
1.4279999732971	-14.154352208018
1.4320000410080	-14.223508828037
1.4359999895096	-14.292894420561
1.4400000572205	-14.362515477998
1.4440000057220	-14.432374450912
1.4479999542236	-14.502470172626
1.4520000219345	-14.572800323947
1.4559999704361	-14.643362102763
1.4600000381470	-14.714148505617
1.4639999866486	-14.785147095134
1.4680000543594	-14.856350774775
1.4720000028610	-14.927743909739
1.4759999513626	-14.999311161201
1.4800000190735	-15.071034443080
1.4839999675751	-15.142895349836
1.4880000352859	-15.214872112032
1.4919999837875	-15.286941653085
1.4960000514984	-15.359078922883
1.5000000000000	-15.431258225743
1.5039999485016	-15.503451671228
1.5080000162125	-15.575628966032
1.5119999647141	-15.647763021614
1.5160000324249	-15.719822878455
1.5199999809265	-15.791775202047
1.5240000486374	-15.863589612409
1.5279999971390	-15.935232329804
1.5319999456406	-16.006672690308
1.5360000133514	-16.077876283818
1.5399999618530	-16.148810865704
1.5440000295639	-16.219448032809
1.5479999780655	-16.289751065284
1.5520000457764	-16.359692223475
1.5559999942780	-16.429242569169
1.5599999427795	-16.498372046786
1.5640000104904	-16.567056235953
1.5679999589920	-16.635266743631
1.5720000267029	-16.702981491141
1.5759999752045	-16.770178293454
1.5800000429153	-16.836837949624
1.5839999914169	-16.902941503309
1.5880000591278	-16.968474596354
1.5920000076294	-17.033424475165
1.5959999561310	-17.097781533463
1.6000000238419	-17.161534557975
1.6039999723434	-17.224682668058
1.6080000400543	-17.287220524800
1.6119999885559	-17.349149990779
1.6160000562668	-17.410473587565
1.6200000047684	-17.471196273245
1.6239999532700	-17.531326822380
1.6280000209808	-17.590877555218
1.6319999694824	-17.649858566581
1.6360000371933	-17.708288650026
1.6399999856949	-17.766185120148
1.6440000534058	-17.823569432296
1.6480000019073	-17.880462946671
1.6519999504089	-17.936889099272
1.6560000181198	-17.992878119706
1.6599999666214	-18.048453438201
1.6640000343323	-18.103646017492
1.6679999828339	-18.158487824426
1.6720000505447	-18.213008595124
1.6759999990463	-18.267242090383
1.6799999475479	-18.321219429835
1.6840000152588	-18.374975810168
1.6879999637604	-18.428544907455
1.6920000314713	-18.481960245347
1.6959999799728	-18.535254492159
1.7000000476837	-18.588462843085
1.7039999961853	-18.641615346151
1.7079999446869	-18.694745103762
1.7120000123978	-18.747884141044
1.7159999608994	-18.801060211289
1.7200000286102	-18.854303737252
1.7239999771118	-18.907640253287
1.7280000448227	-18.961097133187
1.7319999933243	-19.014695584373
1.7359999418259	-19.068459594252
1.7400000095367	-19.122410165030
1.7439999580383	-19.176562910598
1.7480000257492	-19.230933725711
1.7519999742508	-19.285536371721
1.7560000419617	-19.340384003615
1.7599999904633	-19.395481319031
1.7640000581741	-19.450837384628
1.7680000066757	-19.506454759026
1.7719999551773	-19.562333904186
1.7760000228882	-19.618473338798
1.7799999713898	-19.674870051717
1.7840000391006	-19.731516260384
1.7879999876022	-19.788400875451
1.7920000553131	-19.845513992277
1.7960000038147	-19.902839490054
1.7999999523163	-19.960360387510
1.8040000200272	-20.018056449298
1.8079999685287	-20.075904063805
1.8120000362396	-20.133880932461
1.8159999847412	-20.191957367206
1.8200000524521	-20.250105388046
1.8240000009537	-20.308292509199
1.8279999494553	-20.366486277554
1.8320000171661	-20.424649338083
1.8359999656677	-20.482745407322
1.8400000333786	-20.540734378305
1.8439999818802	-20.598577939765
1.8480000495911	-20.656230661612
1.8519999980927	-20.713652185442
1.8559999465942	-20.770795789892
1.8600000143051	-20.827618173402
1.8639999628067	-20.884073768490
1.8680000305176	-20.940115606016
1.8719999790192	-20.995697574456
1.8760000467300	-21.050771411491
1.8799999952316	-21.105292414200
1.8839999437332	-21.159214092211
1.8880000114441	-21.212490630969
1.8919999599457	-21.265075451719
1.8960000276566	-21.316927005570
1.8999999761581	-21.367999747912
1.9040000438690	-21.418254954330
1.9079999923706	-21.467649402783
